FID,LAD24CD,LAD24NM,LAD24NMW,BNG_E,BNG_N,LONG,LAT,Shape__Area,Shape__Length
0,E12000007,London, ,,,0.1275,51.507222,1572000000.0,
1,E06000001,Hartlepool, ,447161,531473,-1.27017,54.6761,98454942.3097076,69118.8773204788
2,E06000002,Middlesbrough, ,451141,516887,-1.21099,54.5447,54553587.1400299,41055.8098856335
3,E06000003,Redcar and Cleveland, ,464330,519596,-1.00656,54.5675,253285515.851288,100012.551380666
4,E06000004,Stockton-on-Tees, ,444940,518179,-1.30664,54.5569,209741083.856888,108276.35763074
5,E06000005,Darlington, ,428029,515648,-1.56835,54.5353,197489464.805466,107285.516031304
6,E06000006,Halton, ,354246,382146,-2.68853,53.3342,90305849.5462646,61005.708569242
7,E06000007,Warrington, ,362744,388457,-2.56167,53.3916,182384150.248489,84223.1903470268
8,E06000008,Blackburn with Darwen, ,369489,422806,-2.46361,53.7008,137017280.812851,65628.2358232989
9,E06000009,Blackpool, ,332817,436635,-3.02202,53.8216,43069802.6594543,37854.0660761951
10,E06000010,"Kingston upon Hull, City of", ,511892,431651,-0.30385,53.7692,81461658.2241058,46031.1776496156
11,E06000011,East Riding of Yorkshire, ,488056,443597,-0.66195,53.8811,2490179117.97748,379398.618548745
12,E06000012,North East Lincolnshire, ,523465,404564,-0.13911,53.5233,201496759.961319,90033.5999939866
13,E06000013,North Lincolnshire, ,497800,410993,-0.52407,53.5864,878938893.13913,184007.895886229
14,E06000014,York, ,460863,452590,-1.07376,53.9658,272020555.010986,99662.9263693141
15,E06000015,Derby, ,435611,335375,-1.47186,52.9146,78017805.8896484,50138.6542463907
16,E06000016,Leicester, ,458946,304594,-1.1304,52.6359,73337115.9530411,51950.1486230722
17,E06000017,Rutland, ,492992,308655,-0.6263,52.6676,393734893.518448,126105.694164941
18,E06000018,Nottingham, ,456082,339970,-1.16667,52.9542,74644232.1561279,58806.9289054417
19,E06000019,"Herefordshire, County of", ,349434,242842,-2.73931,52.0816,2179688339.26213,351275.654535823
20,E06000020,Telford and Wrekin, ,367035,313057,-2.48941,52.7142,290273095.945671,120043.234945942
21,E06000021,Stoke-on-Trent, ,389438,346650,-2.15888,53.0171,93437918.0714722,64520.8847927226
22,E06000022,Bath and North East Somerset, ,366215,161999,-2.48657,51.356,351154096.565308,142102.249541696
